scenario,kpi,mean,ci_lower,ci_upper,std
S5,avg_wait_besiktas,15.315786506994936,14.125249455725802,16.50632355826407,2.5438042828818213
S5,avg_wait_eminonu,8.21248460556717,7.686604251307291,8.738364959827047,1.1236413818651305
S5,avg_wait_kadikoy,11.882392611498474,9.804728116386885,13.960057106610064,4.43931739497084
S5,avg_wait_uskudar,20.977655241024344,17.910949461961422,24.044361020087266,6.552588419488986
S5,berth_util_eminonu,0.33811111111111114,0.33316023904309255,0.3430619831791297,0.010578460835973235
S5,berth_util_kadikoy,0.17655555555555555,0.17240261814537622,0.18070849296573488,0.008873524733474384
S5,left_behind_rate,0.08779334751666665,0.06450451598220205,0.11108217905113124,0.04976092876532569
S5,load_factor_L1,0.3075958037481935,0.30177895045833875,0.31341265703804827,0.012428791103858552
S5,load_factor_L2,0.4381584594005486,0.4280678383164541,0.44824908048464307,0.02156049247127077
S5,load_factor_L3,0.37985381153746134,0.3685252312998197,0.391182391775103,0.02420562291342639
S5,load_factor_L4,0.39198406410386843,0.3835703601032266,0.4003977681045103,0.01797744660606477
S5,loss_rate,0.0018199161070947337,-1.3558332667144369e-05,0.0036533905468566115,0.003917559833563101
S5,missed_conn_rate,0.23339979603087518,0.1596747642645576,0.30712482779719275,0.15752727003568165
S5,throughput,1769.1233333333334,1763.856216304068,1774.3904503625988,11.25417713224633
S5,total_pax_served,26536.85,26457.843244561016,26615.85675543898,168.8126569836952
S6,avg_journey_time,32.779584050925685,32.75338560583576,32.80578249601561,0.055977860372810495
S6,avg_jt_besiktas,38.69895655143951,38.62818653990092,38.76972656297809,0.1512133186107324
S6,avg_jt_eminonu,29.027899133217254,28.989507728351462,29.066290538083045,0.08203039125858576
S6,avg_jt_kadikoy,32.714919696031906,32.66537379774532,32.764465594318494,0.10586404524436974
S6,avg_jt_uskudar,33.093233726454386,32.985167818995485,33.20129963391329,0.23090295084425927
S6,avg_wait_besiktas,11.356979455916164,11.259761626784252,11.454197285048076,0.20772400981103753
S6,avg_wait_eminonu,6.024610784414074,5.974535702428072,6.074685866400077,0.10699474483877795
S6,avg_wait_kadikoy,6.5722827843739875,6.540639421179673,6.603926147568302,0.06761194263771447
S6,avg_wait_uskudar,11.92651847130356,11.862524113254517,11.990512829352602,0.13673587219472916
S6,berth_util_eminonu,0.18444444444444444,0.18444444444444444,0.18444444444444444,0.0
S6,berth_util_kadikoy,0.18444444444444444,0.18444444444444444,0.18444444444444444,0.0
S6,left_behind_rate,0.002603393610737539,0.0018735049423494244,0.0033332822791256535,0.001559543164736726
S6,load_factor_L1,0.2858774509803922,0.2849741315523142,0.28678077040847016,0.0019301103040057054
S6,load_factor_L2,0.4288092105263158,0.4268171192249887,0.4308013018276429,0.004256474318716491
S6,load_factor_L3,0.34416447368421055,0.34225546493934716,0.34607348242907393,0.004078952953262191
S6,load_factor_L4,0.40839,0.4068968329061433,0.40988316709385664,0.003190429768113247
S6,loss_rate,0.0,0.0,0.0,0.0
S6,missed_conn_rate,0.0,0.0,0.0,0.0
S6,throughput,1781.9933333333333,1778.0617269082136,1785.924939758453,8.400609835841399
S6,total_pax_served,26729.9,26670.925903623207,26788.874096376796,126.00914753762083
